               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089795,             0.15198,            0.066241,              0.1298,            0.096062,           0.0065225,           0.0014875,             0.12035,             0.62335,             0.08631,           0.0032864,           0.0032864,            0.070423
                   1,            0.076871,             0.15408,            0.057185,             0.34171,             0.10602,            0.038342,           0.0090702,            0.082011,             0.23811,            0.058389,           0.0066066,           0.0066066,            0.040409
                   2,            0.074187,             0.15583,            0.054462,             0.21732,             0.18979,            0.042857,           0.0097767,            0.078943,             0.20782,            0.055294,           0.0099136,           0.0099136,            0.010383
                   3,            0.074185,             0.15596,            0.053056,             0.18729,             0.23506,             0.06906,            0.017514,            0.074992,              0.1777,             0.05311,           0.0099406,           0.0099406,           0.0099406
                   4,            0.069179,             0.15721,            0.051733,             0.23543,             0.31107,             0.11589,             0.03722,            0.066265,             0.17289,            0.049824,           0.0099406,           0.0099406,           0.0099406
                   5,            0.067214,             0.15257,            0.050136,             0.36014,             0.24287,             0.11898,            0.039677,            0.067118,             0.17788,            0.050514,           0.0099208,           0.0099208,           0.0099208
                   6,            0.064647,             0.15526,            0.049152,             0.39999,             0.25336,             0.15428,            0.059271,            0.062006,             0.17302,            0.047162,            0.009901,            0.009901,            0.009901
                   7,            0.063989,              0.1506,            0.048605,               0.374,             0.25975,             0.15393,            0.061704,            0.060562,             0.15993,            0.046346,           0.0098812,           0.0098812,           0.0098812
                   8,            0.062785,             0.14885,            0.047806,             0.35173,             0.25981,             0.16099,            0.065736,            0.062104,             0.16863,            0.047336,           0.0098614,           0.0098614,           0.0098614
                   9,            0.062361,             0.14966,            0.047522,             0.34808,             0.25738,             0.16087,            0.063446,            0.061274,             0.15809,            0.046132,           0.0098416,           0.0098416,           0.0098416
                  10,            0.062268,              0.1476,            0.047256,             0.45451,             0.22209,             0.16785,            0.061808,            0.062352,             0.16501,            0.046343,           0.0098218,           0.0098218,           0.0098218
                  11,            0.061987,             0.14737,             0.04661,             0.47599,             0.24254,              0.1813,            0.075825,             0.05772,             0.15619,            0.045171,            0.009802,            0.009802,            0.009802
                  12,            0.060509,              0.1471,             0.04625,             0.46018,             0.27079,             0.19978,            0.083604,            0.058766,             0.15828,            0.043949,           0.0097822,           0.0097822,           0.0097822
                  13,            0.059684,             0.14995,            0.045474,             0.29815,             0.33803,             0.20315,            0.089243,            0.057513,             0.15835,            0.044062,           0.0097624,           0.0097624,           0.0097624
                  14,            0.059732,             0.14707,            0.044879,              0.4543,             0.30616,              0.2031,            0.086462,            0.057837,              0.1599,            0.043583,           0.0097426,           0.0097426,           0.0097426
                  15,            0.058861,             0.14356,            0.044327,             0.37873,             0.30406,             0.22833,            0.098933,            0.057352,             0.15531,            0.042245,           0.0097228,           0.0097228,           0.0097228
                  16,            0.058501,              0.1457,            0.043878,              0.3511,             0.35614,             0.22535,             0.10145,            0.055142,              0.1554,            0.042913,            0.009703,            0.009703,            0.009703
                  17,             0.05891,             0.14835,            0.043537,             0.45203,             0.29277,             0.23787,             0.10376,            0.055332,             0.15295,            0.041275,           0.0096832,           0.0096832,           0.0096832
                  18,            0.058774,             0.14102,            0.042919,             0.40202,             0.31515,             0.23768,             0.10302,            0.055417,             0.15799,            0.042657,           0.0096634,           0.0096634,           0.0096634
                  19,            0.058675,               0.144,            0.042243,             0.38122,             0.36214,             0.24938,             0.10521,            0.056381,             0.15486,            0.041105,           0.0096436,           0.0096436,           0.0096436
                  20,            0.058004,             0.14621,            0.041645,             0.36165,             0.34806,             0.24575,             0.11137,            0.055687,              0.1544,             0.04104,           0.0096238,           0.0096238,           0.0096238
                  21,            0.057186,             0.14466,            0.041458,             0.37275,             0.31234,              0.2585,             0.11539,            0.053944,             0.15105,            0.039361,            0.009604,            0.009604,            0.009604
                  22,            0.056184,             0.14253,            0.040972,             0.38509,             0.37066,             0.28373,             0.12804,            0.053859,             0.15063,            0.038834,           0.0095842,           0.0095842,           0.0095842
                  23,            0.056042,             0.14203,            0.040317,             0.49291,             0.33443,               0.282,             0.13488,            0.053411,             0.15205,            0.039025,           0.0095644,           0.0095644,           0.0095644
                  24,            0.054596,             0.14221,            0.040065,              0.4642,             0.34377,             0.28684,             0.13638,             0.05351,             0.15358,             0.03833,           0.0095446,           0.0095446,           0.0095446
                  25,            0.055522,             0.14201,            0.039366,             0.43044,             0.31412,             0.29734,             0.14133,            0.053361,             0.15114,             0.03827,           0.0095248,           0.0095248,           0.0095248
                  26,            0.055357,             0.14505,            0.039599,             0.47416,             0.33951,             0.28929,              0.1406,            0.054453,             0.15175,            0.038445,            0.009505,            0.009505,            0.009505
                  27,            0.055089,             0.14073,            0.038951,              0.5557,             0.33919,             0.30839,             0.15425,            0.052386,             0.15028,             0.03749,           0.0094852,           0.0094852,           0.0094852
                  28,            0.054674,             0.14044,            0.038357,             0.54698,             0.36225,              0.3185,             0.15912,             0.05142,             0.14912,            0.036933,           0.0094654,           0.0094654,           0.0094654
                  29,            0.054036,             0.13622,            0.037642,             0.56582,             0.35506,             0.31966,             0.15039,            0.052645,             0.14938,            0.035909,           0.0094456,           0.0094456,           0.0094456
                  30,            0.053874,             0.13875,            0.037982,             0.57396,             0.36023,             0.32647,             0.16153,            0.052068,             0.14959,            0.036001,           0.0094258,           0.0094258,           0.0094258
                  31,            0.054426,             0.14179,            0.037241,             0.48306,             0.35146,             0.32491,             0.16251,            0.051951,             0.15179,            0.036163,            0.009406,            0.009406,            0.009406
                  32,            0.053218,             0.13813,             0.03721,             0.51418,             0.36063,             0.32151,             0.16354,            0.053128,             0.15305,            0.035724,           0.0093862,           0.0093862,           0.0093862
                  33,            0.054934,             0.14204,            0.037627,             0.57473,                0.33,             0.30802,             0.14906,            0.053143,             0.15311,            0.037474,           0.0093664,           0.0093664,           0.0093664
                  34,            0.054653,             0.14137,            0.037522,             0.54502,              0.3658,              0.3324,             0.16474,            0.051767,              0.1492,            0.036417,           0.0093466,           0.0093466,           0.0093466
                  35,            0.054079,             0.13818,            0.037041,             0.58724,             0.34036,             0.33761,             0.15739,            0.052356,             0.15098,            0.035247,           0.0093268,           0.0093268,           0.0093268
                  36,            0.053422,             0.13643,            0.036606,             0.60797,             0.35109,             0.34511,             0.17475,            0.050489,             0.14904,            0.034905,            0.009307,            0.009307,            0.009307
                  37,            0.052624,             0.13703,            0.036026,              0.5166,             0.38818,             0.34407,             0.18076,            0.049682,             0.14759,            0.034552,           0.0092872,           0.0092872,           0.0092872
                  38,            0.052744,             0.13883,            0.035706,             0.63523,              0.3415,             0.35485,              0.1787,            0.050693,              0.1472,            0.033799,           0.0092674,           0.0092674,           0.0092674
                  39,            0.053371,              0.1415,             0.03593,             0.64968,             0.33764,              0.3593,             0.17589,             0.05118,             0.14722,            0.034115,           0.0092476,           0.0092476,           0.0092476
                  40,            0.052186,              0.1359,            0.035052,             0.60055,             0.36696,             0.35331,             0.18015,             0.05034,             0.14831,            0.033656,           0.0092278,           0.0092278,           0.0092278
